depth,threshold,feature,value
1,-0.1670500785112381,3,
2,0.6180600523948669,1,
3,-0.7146667838096619,3,
4,0.12779712677001953,1,
5,0.8929900527000427,0,
6,0.14151932299137115,2,
7,-0.7582777142524719,3,
8,0.281631663441658,0,
9,-0.9398212432861328,3,
10,0.010839018039405346,1,
11,,,[ 0.  0.  0.  0.  0.  0.  0. 10.  0.  0.]
11,,,[0. 0. 0. 0. 3. 0. 0. 3. 0. 0.]
10,-0.4492452144622803,2,
11,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
11,,,[17.  0.  0.  0.  1.  0.  0.  0.  0.  0.]
9,-0.9946616291999817,3,
10,-0.9972880482673645,3,
11,,,[ 0.  0.  3.  0. 22.  0.  0.  3.  0.  0.]
11,,,[ 0.  0.  0.  0.  5.  0.  0.  6. 47.  0.]
10,-0.42108526825904846,2,
11,,,[27.  4. 21.  0. 79.  0.  0. 35. 56.  0.]
11,,,[ 0. 10.  7.  0. 63.  0.  0. 36.  5.  0.]
8,0.09678668156266212,1,
9,0.09375942125916481,1,
10,0.6524621248245239,0,
11,,,[0. 0. 1. 0. 4. 0. 0. 7. 0. 0.]
11,,,[0. 0. 6. 0. 0. 0. 0. 0. 0. 0.]
10,,,[ 0.  0.  0.  0.  0.  0. 73.  0.  0.  0.]
9,-0.6648307740688324,2,
10,0.7709223628044128,0,
11,,,[ 0.  0.  0.  0. 13.  0.  0.  0.  0.  0.]
11,,,[0. 2. 0. 0. 0. 0. 0. 0. 0. 0.]
10,0.49080535769462585,0,
11,,,[ 0.  0.  0.  0.  0.  0.  0. 10.  0.  0.]
11,,,[0. 0. 3. 0. 3. 0. 0. 0. 0. 0.]
7,-0.9679019451141357,3,
8,0.12525629252195358,1,
9,,,[0. 0. 0. 0. 6. 0. 0. 0. 0. 0.]
9,,,[  0.   0.   0.   0.   0.   0. 103.   0.   0.   0.]
8,0.3252938836812973,2,
9,0.8113166987895966,0,
10,0.2925569862127304,2,
11,,,[0. 3. 0. 0. 2. 0. 0. 1. 0. 0.]
11,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
10,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 18.  0.]
9,-0.8386263847351074,3,
10,0.12021460011601448,1,
11,,,[ 0.  0.  0.  0.  5.  0.  0. 10.  0.  0.]
11,,,[0. 0. 2. 0. 0. 0. 0. 0. 0. 0.]
10,0.6184651553630829,2,
11,,,[0. 0. 0. 0. 0. 0. 0. 0. 8. 0.]
11,,,[0. 0. 1. 0. 1. 0. 0. 3. 0. 0.]
6,0.11810857430100441,1,
7,0.1566602704115212,2,
8,,,[  0.   0.   0.   0.   0.   0. 164.   0.   0.   0.]
8,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
7,0.9381379783153534,0,
8,0.9133717715740204,0,
9,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
9,,,[0. 0. 0. 0. 0. 0. 0. 0. 8. 0.]
8,,,[0. 0. 0. 0. 9. 0. 0. 0. 0. 0.]
5,0.7124743759632111,0,
6,0.6643810570240021,0,
7,-0.7498194575309753,3,
8,0.4602208286523819,1,
9,-0.03872084617614746,2,
10,0.1852666586637497,1,
11,,,[ 15.   8.  19.   0. 100.   0.   0.  48.  48.   6.]
11,,,[ 33.  63.  94. 293. 295.  24.   0. 140. 176.  27.]
10,-0.02151530096307397,2,
11,,,[ 0.  0.  0.  0.  1.  0.  0.  4. 39.  0.]
11,,,[15. 24. 12.  0. 74. 11. 62. 57. 57.  0.]
9,-0.46734189987182617,2,
10,-0.4824898689985275,2,
11,,,[27. 13. 17.  0. 52.  7. 61. 26.  9.  0.]
11,,,[  0.   0.   1.   0.   0.   0. 124.   5.   0.   0.]
10,-0.9069802165031433,3,
11,,,[ 0. 37. 10.  0. 81.  4.  0. 37. 31.  0.]
11,,,[ 0.  3.  0. 57. 18.  0.  0.  5.  8.  0.]
8,0.6712351143360138,2,
9,0.3197754919528961,1,
10,-0.7440970540046692,3,
11,,,[0. 2. 0. 0. 0. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  8.  0. 13.  0.  0.  0.  0.  0.]
10,-0.7440970540046692,3,
11,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 10.  0.]
11,,,[ 0.  3. 18.  0. 25.  0.  0. 12. 75.  0.]
9,,,[ 0.  0.  0.  0.  0.  0.  0. 11.  0.  0.]
7,-0.9983984529972076,3,
8,-0.9990648627281189,3,
9,,,[0. 0. 0. 0. 8. 0. 0. 0. 0. 0.]
9,,,[ 0.  0.  0.  0.  0.  0. 67.  0.  0.  0.]
8,0.1636386513710022,1,
9,0.15477344393730164,1,
10,0.7097206711769104,0,
11,,,[0. 0. 6. 0. 1. 0. 0. 0. 0. 0.]
11,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
10,,,[ 0.  0.  0.  0.  0.  0. 57.  0.  0.  0.]
9,-0.5981587469577789,2,
