depth,threshold,feature,value
1,-0.1670500785112381,3,
2,0.634849339723587,1,
3,-0.7266007959842682,3,
4,-0.05591491982340813,2,
5,0.45088015496730804,1,
6,-0.46734189987182617,2,
7,-0.7909163534641266,3,
8,0.5086076259613037,0,
9,-0.8405872583389282,3,
10,0.19175668060779572,1,
11,,,[ 0.  0.  7.  0. 14.  0.  0.  2. 14.  0.]
11,,,[ 0.  0.  8. 72. 14.  0.  0.  0.  0.  0.]
10,-0.5981587469577789,2,
11,,,[0. 0. 0. 0. 5. 8. 0. 5. 0. 0.]
11,,,[ 0.  0.  5.  0. 22.  0.  0.  5.  0.  0.]
9,-0.4824898689985275,2,
10,0.793766975402832,0,
11,,,[  0.  33.  48.   0. 179.   0.   0.  51.  26.   0.]
11,,,[ 0.  2. 24.  0. 54.  0.  0. 43. 36.  0.]
10,0.9002562761306763,0,
11,,,[ 0. 11.  5.  0. 25.  3.  0. 10.  0.  9.]
11,,,[0. 0. 0. 0. 0. 0. 0. 6. 0. 0.]
8,0.0750991590321064,1,
9,0.07222166284918785,1,
10,-0.7353897988796234,3,
11,,,[0. 0. 2. 0. 0. 0. 0. 7. 0. 0.]
11,,,[0. 0. 4. 0. 1. 0. 0. 0. 0. 0.]
10,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 25.  0.]
9,0.31140410900115967,1,
10,0.5064466446638107,0,
11,,,[ 0.  0.  0.  0.  5.  0.  0. 18.  0.  0.]
11,,,[ 0.  3. 60.  0. 81.  7.  0. 49. 12.  0.]
10,0.4592313766479492,0,
11,,,[ 0.  0.  0. 31.  4.  0.  0.  0.  0.  0.]
11,,,[ 0.  2. 23.  0. 20.  0.  0. 25. 10. 24.]
7,0.5608407557010651,0,
8,0.39653776586055756,1,
9,-0.8995975255966187,3,
10,0.5251075327396393,0,
11,,,[  7.  10.  17.  30.  90.   0.   0.  41. 143.   0.]
11,,,[ 0.  9.  6.  0. 46.  0.  0. 12. 14.  0.]
10,0.3932545334100723,0,
11,,,[0. 0. 0. 0. 5. 0. 0. 1. 0. 0.]
11,,,[ 0.  3.  0.  0.  7.  0.  0.  2. 44.  0.]
9,0.4181545823812485,1,
10,,,[ 0.  0.  0. 28.  0.  0.  0.  0.  0.  0.]
10,-0.9870203137397766,3,
11,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  0.  0.  1.  0.  0.  0. 34.  0.]
8,-0.9561994075775146,3,
9,0.1211693026125431,1,
10,-0.14153505116701126,2,
11,,,[ 0.  1.  1.  0. 16.  0.  0. 10.  0.  0.]
11,,,[ 0.  0.  0.  0.  4.  0.  0.  2. 31.  0.]
10,-0.9812701344490051,3,
11,,,[ 0. 10.  2.  0. 98.  4.  0. 48.  0. 12.]
11,,,[  0.  11.  10.   0. 106.   8.   0.  64.  89.   0.]
9,-0.3090055584907532,2,
10,0.8070514798164368,0,
11,,,[ 40.  26.  14.  24. 110.   0.   0.  81.  15.  13.]
11,,,[ 0.  8.  8.  0. 58.  0.  0. 19. 55. 19.]
10,0.6893870830535889,0,
11,,,[ 0.  0.  4.  0.  3.  0. 59.  4.  0.  0.]
11,,,[ 0. 13.  0.  0. 19.  0.  0.  5.  0. 23.]
6,0.4511760473251343,1,
7,,,[ 0.  0.  0.  0.  0.  0. 56.  0.  0.  0.]
7,-0.7469444274902344,3,
8,-0.638725757598877,2,
9,0.5022740364074707,1,
10,0.49638792872428894,1,
11,,,[9. 0. 8. 0. 7. 0. 0. 2. 0. 0.]
11,,,[ 0.  0.  1.  0.  0.  0. 65.  0.  0.  0.]
10,-0.7582777142524719,3,
11,,,[0. 0. 5. 0. 5. 1. 0. 2. 0. 0.]
11,,,[11.  0.  3.  0.  2.  0.  0.  0.  0.  0.]
9,-0.4054107069969177,2,
10,-0.875859260559082,3,
11,,,[12.  4.  2. 42. 11.  0. 49.  9. 10.  0.]
11,,,[41.  7. 12.  0. 52.  7.  0. 17. 50.  0.]
10,0.6073026061058044,1,
11,,,[ 0. 19.  9.  0. 54.  1.  0. 40. 51.  0.]
11,,,[ 0.  0.  0.  0.  7.  0.  0. 23.  0.  0.]
8,-0.7353897988796234,3,
9,0.561336874961853,1,
10,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 18.  0.]
10,0.5879345536231995,1,
11,,,[0. 0. 0. 0. 0. 0. 0. 3. 0. 0.]
11,,,[0. 5. 1. 0. 2. 0. 0. 1. 0. 0.]
9,0.5703528523445129,0,
10,0.6037665605545044,1,
11,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 36.  0.]
11,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
10,0.6543029248714447,0,
11,,,[0. 0. 2. 0. 0. 0. 0. 0. 0. 0.]
11,,,[0. 1. 0. 0. 1. 0. 0. 0. 0. 0.]
5,0.6108828485012054,1,
6,0.18399153649806976,2,
7,-0.9886409640312195,3,
8,-0.9932200610637665,3,
9,0.5604793131351471,0,
10,-0.02151530096307397,2,
11,,,[ 0.  2.  2.  0. 13.  0.  0.  4. 43.  0.]
11,,,[ 0.  9.  7.  0. 24.  0.  0. 25. 26.  0.]
10,0.5654072463512421,0,
11,,,[ 0.  0.  0.  0.  0.  0. 59.  0.  0.  0.]
11,,,[  5.   7.   4.   0.  86.   0. 138.  52.  55.  15.]
9,0.7892804741859436,0,
10,-0.991077333688736,3,
11,,,[ 0.  2.  0.  0. 17.  0.  0.  7. 33.  0.]
11,,,[ 0.  0.  2.  0. 11.  0.  0.  3. 78.  0.]
10,0.8400765061378479,0,
11,,,[ 0.  1.  0.  0. 14.  0.  0.  7.  0.  0.]
11,,,[ 0.  0.  0.  0.  2.  0.  0.  1. 16.  0.]
8,0.16704543679952621,2,
9,0.7813377678394318,0,
10,0.7725957930088043,0,
11,,,[ 0.  0.  2.  0.  6.  0. 73.  1. 14.  0.]
11,,,[ 0.  0.  0.  0.  0.  0. 65.  0.  0.  0.]
10,,,[0. 0. 0. 0. 5. 0. 0. 0. 0. 0.]
9,0.8100526630878448,0,
10,0.7915474772453308,0,
11,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  0.  0.  0.  0. 53.  0.  0.  0.]
10,0.22271335124969482,1,
11,,,[0. 0. 0. 0. 6. 0. 0. 0. 0. 0.]
11,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
7,0.2511807605624199,2,
8,0.35331137478351593,0,
9,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 18.  0.]
9,0.8623463213443756,0,
10,0.7575908303260803,0,
11,,,[ 0.  0.  5.  0. 45.  4.  0.  3.  7.  0.]
11,,,[0. 0. 0. 0. 4. 0. 0. 7. 0. 0.]
10,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 10.  0.]
8,0.6453242003917694,2,
9,0.5488226413726807,2,
10,0.17172551900148392,1,
