depth,threshold,feature,value
1,-0.1670500785112381,3,
2,0.634849339723587,1,
3,-0.7266007959842682,3,
4,,,[ 159.  226.  340.  265. 1444.   65.  617.  860. 1119.  115.]
4,,,[ 558.  278. 1545.  545.  894.  138. 2158.  942.  620.  431.]
3,0.7337508201599121,1,
4,,,[ 40.  20.  16. 712.  56.  28.   0.  19.  26.   0.]
4,,,[33.  3.  8.  0. 25.  8.  0. 22. 14.  0.]
2,0.6169614493846893,1,
3,0.13300977647304535,2,
4,,,[3854. 3988. 2823. 2397. 2477. 4458. 2141. 2405. 1480. 4185.]
4,,,[  55.  248.  181.    0.   24.  259.   49.  666. 1668.  160.]
3,0.728359192609787,1,
4,,,[ 109.  154.   34. 1046.   49.   84.    0.   54.   30.    0.]
4,,,[30. 11. 15. 29. 16. 35.  0. 15. 18. 14.]
1,-0.038721922785043716,3,
2,0.5081939399242401,0,
3,-0.7025014460086823,2,
4,,,[274. 104. 373. 596. 284.  79. 202. 214. 107.  95.]
4,,,[ 89.  56.  65. 730. 310.  14.   0. 161. 348.   0.]
3,-0.6901478171348572,2,
4,,,[ 564.  313. 1573.  537.  869.  201. 2189.  810.  580.  610.]
4,,,[  92.  175.  282.  121. 1172.   58.  623.  784.  838.  113.]
2,0.6350831389427185,1,
3,0.13300977647304535,2,
4,,,[3852. 3937. 2528. 2182. 2273. 4320. 1739. 2320. 1311. 3916.]
4,,,[  72.  257.  152.    0.   25.  255.   71.  660. 1704.  171.]
3,0.5119795203208923,0,
4,,,[ 40.  17.  11. 817.  26.  61.   0.   9.  26.   0.]
4,,,[22. 69. 21. 28. 23. 40.  0. 39. 11.  0.]
1,0.634849339723587,1,
2,-0.1670500785112381,3,
3,-0.6901478171348572,2,
4,,,[ 616.  231. 1617.  532. 1013.  149. 2021.  802.  566.  434.]
4,,,[ 174.  237.  338.  287. 1433.   53.  635.  994. 1196.  106.]
3,0.7086201310157776,3,
4,,,[1839. 3422. 1682. 1757. 1086. 3220. 1323. 1037.  777. 2663.]
4,,,[2121.  912. 1269.  612. 1336. 1482.  906. 2160. 2435. 1626.]
2,0.8358016312122345,3,
3,-0.8938854932785034,2,
4,,,[133. 105.  28. 601.  44.  82.   0.  27.   9.  16.]
4,,,[  61.   20.   18. 1054.   66.   29.    0.   43.   43.    0.]
3,0.7601275146007538,1,
4,,,[ 0. 10. 12.  0. 12. 11.  0. 39. 21.  0.]
4,,,[ 0.  0.  0. 26.  0.  1.  0.  0.  0.  0.]
1,0.617121011018753,1,
2,0.6701926589012146,0,
3,0.25781334936618805,1,
4,,,[ 871.  687. 1154.  277.  995. 1144. 1662. 1004. 1205.  498.]
4,,,[2824. 2727. 2179. 2968. 1862. 1916. 1989. 1785. 1487. 1499.]
3,0.325313463807106,1,
4,,,[ 855.  974. 1356.    0. 1547. 1473.  811. 1735. 2035. 2572.]
4,,,[169. 415. 209.   0. 260. 265. 566. 265. 195. 328.]
2,0.523665726184845,0,
3,0.7337508201599121,1,
4,,,[ 156.   69.   25. 1711.   70.   81.    0.   51.   35.    0.]
4,,,[27. 11. 14. 39. 18. 11.  0. 14. 21. 18.]
3,0.6031808853149414,0,
4,,,[ 6. 95. 35. 65. 34. 40.  0. 49. 16.  0.]
4,,,[19.  2. 15.  0. 17. 11.  0. 45. 27.  0.]
1,-0.1670500785112381,3,
2,0.5081939399242401,0,
3,0.634849339723587,1,
4,,,[183. 100. 450. 445. 467.  31. 144. 350. 339.  34.]
4,,,[ 80.  21.   4. 653.  72.  20.   0.  12.  24.   0.]
3,-0.6901478171348572,2,
4,,,[ 437.  224. 1169.  297.  740.  102. 1971.  659.  541.  375.]
4,,,[ 121.  172.  264.  137. 1148.   41.  645.  732.  857.   95.]
2,0.13300977647304535,2,
3,0.6519965529441833,0,
4,,,[2849. 2790. 1804. 3505. 1534. 2754. 1399. 1412.  852. 1675.]
4,,,[1171. 1441. 1037.    0. 1001. 1745.  794. 1091.  697. 2573.]
3,0.6006514430046082,0,
4,,,[ 28. 141.  84.   0.   9. 134.  66. 266. 630.   0.]
4,,,[  30.  115.   57.    0.   11.   91.    0.  408. 1090.  170.]
1,0.634849339723587,1,
2,0.13300977647304535,2,
3,0.6726598739624023,0,
4,,,[3661. 3332. 3137. 3237. 3021. 3042. 3511. 2410. 1595. 2132.]
4,,,[1052. 1202. 1461.    0. 1642. 1561. 1159. 1598. 1233. 2672.]
3,-0.9795774221420288,3,
4,,,[  0.   8.   9.   0.  58.   0. 182.  24.  91.   0.]
4,,,[  97.  262.  211.    0.  126.  272.   68.  890. 1900.  183.]
2,0.5466556251049042,0,
3,0.7337600886821747,1,
4,,,[ 112.   71.    9. 1633.   82.   78.    0.   55.   33.    0.]
4,,,[38.  9.  9. 40. 35. 13.  0. 11. 18. 22.]
3,0.6048008501529694,0,
4,,,[14. 57. 37.  0. 24. 31.  0. 18.  0.  0.]
4,,,[25.  5.  8.  0. 12. 18.  0. 21. 33.  0.]
1,0.634849339723587,1,
2,0.13300977647304535,2,
3,0.6726598739624023,0,
4,,,[3645. 3310. 3226. 3254. 2945. 2985. 3551. 2460. 1609. 2147.]
4,,,[ 946. 1180. 1359.    0. 1752. 1611. 1131. 1502. 1211. 2745.]
3,0.2678043842315674,2,
4,,,[ 55. 107.  95.   0. 102. 169. 186. 249. 585. 120.]
4,,,[  32.  167.   84.    0.   88.  107.   75.  734. 1471.   35.]
2,0.523665726184845,0,
3,0.2950292378664017,0,
4,,,[80.  8.  0.  0. 24.  0.  0.  4. 16.  0.]
4,,,[  65.   42.   27. 1641.   76.   94.    0.   18.   41.   17.]
3,-0.8088971376419067,2,
4,,,[42. 59. 24. 52. 31. 50.  0. 17. 10.  0.]
4,,,[ 0. 20. 14.  0. 31.  5.  0. 60. 12.  0.]
1,0.13300977647304535,2,
2,0.634849339723587,1,
3,-0.7025014460086823,2,
4,,,[2545. 3649. 3212. 2282. 1911. 3364. 3365. 1752. 1046. 3207.]
4,,,[2195.  920. 1505.  892. 2655. 1201. 1334. 2171. 1788. 1604.]
3,-0.8938854932785034,2,
4,,,[119. 100.  45. 601.  52. 102.   0.  24.  11.  18.]
4,,,[  52.   32.   32. 1110.   71.   44.    0.   71.   68.    0.]
2,-0.9828901588916779,3,
3,0.1500498354434967,2,
4,,,[ 0.  3.  2.  0. 14.  0.  0. 11. 88.  0.]
4,,,[  0.   0.   6.   0.  16.   0. 198.  11.  18.   0.]
3,0.7288943529129028,0,
4,,,[  51.  205.  152.    0.   81.  195.   62.  479. 1371.   22.]
4,,,[ 43.  59.  51.   0.  82.  75.   0. 431. 591. 143.]
1,0.634849339723587,1,
2,0.6726598739624023,0,
3,0.13300977647304535,2,
4,,,[3667. 3327. 3219. 3294. 2993. 3016. 3492. 2365. 1572. 2081.]
4,,,[  53.  213.  162.    0.   88.  182.  132.  464. 1065.    0.]
3,-0.02151530096307397,2,
