depth,threshold,feature,value,branches
1,-0.0344203375279903,3,,"[1, 546]"
2,0.6171143651008606,1,,"[2, 397]"
3,-0.6583954989910126,3,,"[3, 180]"
4,-0.4673418998718261,2,,"[4, 85]"
5,0.450880154967308,1,,"[5, 64]"
6,-0.638725757598877,2,,"[6, 37]"
7,0.1065867021679878,1,,"[7, 22]"
8,0.094998650252819,1,,"[8, 15]"
9,-0.6994324326515198,3,,"[9, 12]"
10,0.0926012881100177,1,,"[10, 11]"
11,,,[ 0.  0. 16.  0.  6.  0.  0.  2.  0.  0.],
11,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.],
10,-0.7265805900096893,2,,"[13, 14]"
11,,,[0. 0. 2. 0. 1. 0. 0. 0. 0. 0.],
11,,,[8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
9,-0.7025014460086823,2,,"[16, 19]"
10,0.6166757643222809,0,,"[17, 18]"
11,,,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.],
11,,,[0. 0. 4. 0. 2. 4. 0. 0. 0. 0.],
10,0.5673373639583588,0,,"[20, 21]"
11,,,[ 0.  0.  0.  0.  0.  0. 59.  0.  0.  0.],
11,,,[ 0.  0.  0.  0.  2.  0. 57.  0.  0.  0.],
8,-0.7582777142524719,3,,"[23, 30]"
9,0.6014914810657501,0,,"[24, 27]"
10,0.5115682482719421,0,,"[25, 26]"
11,,,[0. 0. 0. 0. 0. 0. 0. 8. 0. 0.],
11,,,[0. 0. 8. 0. 2. 0. 0. 1. 0. 0.],
10,0.1945275664329528,1,,"[28, 29]"
11,,,[ 0.  0.  0.  0.  0.  0.  0. 10.  0.  0.],
11,,,[ 0.  0.  0.  0.  3.  0.  0. 10.  0.  0.],
9,-0.6648307740688324,2,,"[31, 34]"
10,0.1806028559803962,1,,"[32, 33]"
11,,,[ 0.  8. 35.  0. 55.  3.  0. 11.  0.  0.],
11,,,[ 0.  7. 86.  0. 66.  0.  0. 80.  8.  0.],
10,0.90217587351799,0,,"[35, 36]"
11,,,[ 0.  0.  0.  0. 27.  0.  0.  6.  0.  0.],
11,,,[0. 0. 1. 0. 0. 6. 0. 0. 0. 0.],
7,0.5086274147033691,0,,"[38, 53]"
8,0.1917566806077957,1,,"[39, 46]"
9,-0.5270581841468811,2,,"[40, 43]"
10,0.1173875145614147,1,,"[41, 42]"
11,,,[ 0.  0.  0.  0. 14.  0.  0.  0.  0.  0.],
11,,,[0. 0. 0. 0. 7. 0. 0. 8. 0. 0.],
