depth,threshold,feature,value,branches
1,0.13707144558429718,0,,"[1, 34]"
2,0.6103869080543518,1,,"[2, 15]"
3,0.06715241074562073,0,,"[3, 6]"
4,0.4173841178417206,1,,"[4, 5]"
5,,,"[0, 329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
5,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0]",
4,0.5456501692533493,1,,"[7, 14]"
5,-0.9328786432743073,2,,"[8, 11]"
6,0.4812847226858139,1,,"[9, 10]"
7,,,"[0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
6,0.09647997096180916,0,,"[12, 13]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 0, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 0, 0, 0, 0, 0, 0, 0]",
5,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 482, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
3,-0.761193037033081,3,,"[16, 21]"
4,-0.3170033246278763,2,,"[17, 18]"
5,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
5,-0.15723974630236626,2,,"[19, 20]"
6,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
6,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
4,0.12781458953395486,3,,"[22, 29]"
5,0.06471146270632744,0,,"[23, 26]"
6,0.04848923720419407,0,,"[24, 25]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 3466, 0, 0, 0, 169, 0, 0, 0, 495, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,-0.11164246499538422,3,,"[27, 28]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 345, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 631, 0, 0, 0, 0, 3, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
5,0.6866157650947571,1,,"[30, 31]"
6,,,"[0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,-0.8958642184734344,2,,"[32, 33]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
