depth,threshold,feature,is_leaf,value
1,-0.03442033752799034,3,False,[4908. 4976. 5098. 5031. 4847. 5201. 4990. 5000. 4969. 4920.]
2,0.6171143651008606,1,False,[1008.  614. 2408. 1877. 2491.  310. 3049. 1996. 1526.  792.]
3,-0.6583954989910126,3,False,[ 898.  576. 2366.  831. 2371.  283. 3049. 1913. 1483.  768.]
4,-0.46734189987182617,2,False,[ 230.  235.  490.  271. 1491.   45.  643.  885.  902.  106.]
5,0.45088015496730804,1,False,[113.  68. 340. 106. 571.  19. 264. 333. 178.  25.]
6,-0.638725757598877,2,False,[ 40.  51. 267. 106. 495.  19. 116. 265.  86.  19.]
7,0.10658670216798782,1,False,[  8.  15. 156.   0. 167.  13. 116. 128.   8.   0.]
8,0.09499865025281906,1,False,[  8.   0.  26.   0.  14.   4. 116.   2.   0.   0.]
9,-0.6994324326515198,3,False,[ 8.  0. 18.  0. 10.  0.  0.  2.  0.  0.]
10,0.09260128811001778,1,False,[ 0.  0. 16.  0.  9.  0.  0.  2.  0.  0.]
11,-2.0,-2,True,[ 0.  0. 16.  0.  6.  0.  0.  2.  0.  0.]
11,-2.0,-2,True,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
10,-0.7265805900096893,2,False,[8. 0. 2. 0. 1. 0. 0. 0. 0. 0.]
11,-2.0,-2,True,[0. 0. 2. 0. 1. 0. 0. 0. 0. 0.]
11,-2.0,-2,True,[8. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
9,-0.7025014460086823,2,False,[  0.   0.   8.   0.   4.   4. 116.   0.   0.   0.]
10,0.6166757643222809,0,False,[0. 0. 8. 0. 2. 4. 0. 0. 0. 0.]
11,-2.0,-2,True,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
11,-2.0,-2,True,[0. 0. 4. 0. 2. 4. 0. 0. 0. 0.]
10,0.5673373639583588,0,False,[  0.   0.   0.   0.   2.   0. 116.   0.   0.   0.]
11,-2.0,-2,True,[ 0.  0.  0.  0.  0.  0. 59.  0.  0.  0.]
11,-2.0,-2,True,[ 0.  0.  0.  0.  2.  0. 57.  0.  0.  0.]
8,-0.7582777142524719,3,False,[  0.  15. 130.   0. 153.   9.   0. 126.   8.   0.]
9,0.6014914810657501,0,False,[ 0.  0.  8.  0.  5.  0.  0. 29.  0.  0.]
10,0.5115682482719421,0,False,[0. 0. 8. 0. 2. 0. 0. 9. 0. 0.]
11,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 8. 0. 0.]
11,-2.0,-2,True,[0. 0. 8. 0. 2. 0. 0. 1. 0. 0.]
10,0.19452756643295288,1,False,[ 0.  0.  0.  0.  3.  0.  0. 20.  0.  0.]
11,-2.0,-2,True,[ 0.  0.  0.  0.  0.  0.  0. 10.  0.  0.]
11,-2.0,-2,True,[ 0.  0.  0.  0.  3.  0.  0. 10.  0.  0.]
9,-0.6648307740688324,2,False,[  0.  15. 122.   0. 148.   9.   0.  97.   8.   0.]
10,0.18060285598039627,1,False,[  0.  15. 121.   0. 121.   3.   0.  91.   8.   0.]
11,-2.0,-2,True,[ 0.  8. 35.  0. 55.  3.  0. 11.  0.  0.]
11,-2.0,-2,True,[ 0.  7. 86.  0. 66.  0.  0. 80.  8.  0.]
10,0.9021758735179901,0,False,[ 0.  0.  1.  0. 27.  6.  0.  6.  0.  0.]
11,-2.0,-2,True,[ 0.  0.  0.  0. 27.  0.  0.  6.  0.  0.]
11,-2.0,-2,True,[0. 0. 1. 0. 0. 6. 0. 0. 0. 0.]
7,0.5086274147033691,0,False,[ 32.  36. 111. 106. 328.   6.   0. 137.  78.  19.]
8,0.19175668060779572,1,False,[  0.   0.  22. 106.  61.   2.   0.  16.  12.   0.]
9,-0.5270581841468811,2,False,[ 0.  0.  4.  0. 30.  0.  0. 10. 12.  0.]
