depth,threshold,feature,value
1,-0.03442033752799034,3,
2,0.6171143651008606,1,
3,-0.6583954989910126,3,
4,-0.46734189987182617,2,
5,0.45088015496730804,1,
6,-0.638725757598877,2,
7,0.10658670216798782,1,
8,0.09499865025281906,1,
9,-0.6994324326515198,3,
10,0.09260128811001778,1,
11,,,[ 0.  0. 16.  0.  6.  0.  0.  2.  0.  0.]
11,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
10,-0.7265805900096893,2,
11,,,[0. 0. 2. 0. 1. 0. 0. 0. 0. 0.]
11,,,[8. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
9,-0.7025014460086823,2,
10,0.6166757643222809,0,
11,,,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
11,,,[0. 0. 4. 0. 2. 4. 0. 0. 0. 0.]
10,0.5673373639583588,0,
11,,,[ 0.  0.  0.  0.  0.  0. 59.  0.  0.  0.]
11,,,[ 0.  0.  0.  0.  2.  0. 57.  0.  0.  0.]
8,-0.7582777142524719,3,
9,0.6014914810657501,0,
10,0.5115682482719421,0,
11,,,[0. 0. 0. 0. 0. 0. 0. 8. 0. 0.]
11,,,[0. 0. 8. 0. 2. 0. 0. 1. 0. 0.]
10,0.19452756643295288,1,
11,,,[ 0.  0.  0.  0.  0.  0.  0. 10.  0.  0.]
11,,,[ 0.  0.  0.  0.  3.  0.  0. 10.  0.  0.]
9,-0.6648307740688324,2,
10,0.18060285598039627,1,
11,,,[ 0.  8. 35.  0. 55.  3.  0. 11.  0.  0.]
11,,,[ 0.  7. 86.  0. 66.  0.  0. 80.  8.  0.]
10,0.9021758735179901,0,
11,,,[ 0.  0.  0.  0. 27.  0.  0.  6.  0.  0.]
11,,,[0. 0. 1. 0. 0. 6. 0. 0. 0. 0.]
7,0.5086274147033691,0,
8,0.19175668060779572,1,
9,-0.5270581841468811,2,
10,0.11738751456141472,1,
11,,,[ 0.  0.  0.  0. 14.  0.  0.  0.  0.  0.]
11,,,[0. 0. 0. 0. 7. 0. 0. 8. 0. 0.]
10,0.4962691366672516,0,
11,,,[0. 0. 4. 0. 9. 0. 0. 2. 0. 0.]
11,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 12.  0.]
9,0.31504735350608826,1,
10,-0.8674242198467255,3,
11,,,[0. 0. 2. 0. 4. 0. 0. 0. 0. 0.]
11,,,[  0.   0.   6. 106.   6.   2.   0.   1.   0.   0.]
10,0.42169472575187683,1,
11,,,[ 0.  0.  0.  0. 15.  0.  0.  0.  0.  0.]
11,,,[ 0.  0. 10.  0.  6.  0.  0.  5.  0.  0.]
8,0.4271933287382126,1,
9,-0.4824898689985275,2,
10,0.32143500447273254,1,
11,,,[ 32.  23.  59.   0. 165.   0.   0.  98.  48.   0.]
11,,,[ 0. 11. 17.  0. 84.  0.  0. 13.  0.  0.]
10,0.7878891229629517,0,
11,,,[ 0.  2. 13.  0. 12.  4.  0.  9.  0.  0.]
11,,,[ 0.  0.  0.  0.  4.  0.  0.  1.  0. 19.]
9,-0.7906819880008698,3,
10,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
10,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 18.  0.]
6,-0.875859260559082,3,
7,0.4676438421010971,0,
8,,,[0. 0. 0. 0. 0. 0. 0. 5. 0. 0.]
8,0.4592346101999283,1,
9,,,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
9,0.49932992458343506,0,
10,,,[ 0.  0.  0.  0.  0.  0. 53.  0.  0.  0.]
10,0.5256055295467377,1,
11,,,[0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
11,,,[ 0.  0.  0.  0.  0.  0. 48.  0.  0.  0.]
7,0.4511760473251343,1,
8,,,[ 0.  0.  0.  0.  0.  0. 47.  0.  0.  0.]
8,0.6140871644020081,1,
9,0.5823227763175964,1,
10,-0.6648307740688324,2,
11,,,[16.  2. 33.  0.  7.  0.  0.  0. 34.  6.]
11,,,[57.  3. 17.  0. 31.  0.  0. 23. 21.  0.]
10,-0.6901478171348572,2,
11,,,[ 0.  2. 13.  0.  4.  0.  0. 24.  0.  0.]
11,,,[ 0. 10.  6.  0. 34.  0.  0. 14.  9.  0.]
9,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 28.  0.]
5,0.40744633972644806,1,
6,0.5592225193977356,0,
7,-0.8900193572044373,3,
8,-0.09024826809763908,2,
9,0.32558876276016235,1,
10,-0.982780933380127,3,
11,,,[ 0.  2.  1. 34. 15.  0.  0.  6.  0.  0.]
11,,,[ 0. 16. 16.  0. 54.  0.  0. 55.  6.  0.]
10,0.32775096595287323,1,
11,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 13.  0.]
